Year of Birth,Gender,Ethnicity,Child's First Name
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Ava
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Evelyn
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Aria
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Zoey
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Ella
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Bella
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Luna
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Audrey
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Maya
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Iris
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Maryam
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Ayesha
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Grace
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Hailey
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Zoe
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Arya
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Ellie
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Tenzin
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Zara
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Mirha
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Alina
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Leah
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Zainab
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Nora
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Harper
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Anaya
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Mila
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Lily
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Kaia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Eleanor
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Inaya
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Gianna
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Celine
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Sofia
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Anna
